nom,date,provincial_community_engagement_en,ner_json
South-Kivu,24-06-2026,"1,059 households visited, 9,510 people sensitized, 54 leaders engaged. 10 radios broadcast EVD spots/programs. Advocacy with 54 community/religious/youth/women leaders in Kahungu, Lwiro, Chaoboka, Buhandahanda (Miti-Murhesa HZ) on EVD and contribution to public health actions. Briefing of 6 IOM providers at Lwiro handwashing site on passenger communication techniques. Educational talks with 19 butchers at Katana center on EVD prevention. Mass sensitization of 477 finalist students in Katana HZ.","[{""type"": ""MISC"", ""value"": ""E"", ""score"": 0.8994}, {""type"": ""LOC"", ""value"": ""Kahungu"", ""score"": 0.907}, {""type"": ""LOC"", ""value"": ""Lwiro"", ""score"": 0.7631}, {""type"": ""ORG"", ""value"": ""Chaoboka"", ""score"": 0.9514}, {""type"": ""ORG"", ""value"": ""Buhandahanda"", ""score"": 0.6849}, {""type"": ""ORG"", ""value"": ""Mi"", ""score"": 0.9952}, {""type"": ""ORG"", ""value"": ""##ti - Murhesa HZ"", ""score"": 0.9222}, {""type"": ""ORG"", ""value"": ""EVD"", ""score"": 0.7915}, {""type"": ""ORG"", ""value"": ""I"", ""score"": 0.8916}, {""type"": ""LOC"", ""value"": ""Lwiro"", ""score"": 0.87}, {""type"": ""LOC"", ""value"": ""Katana"", ""score"": 0.9507}, {""type"": ""MISC"", ""value"": ""E"", ""score"": 0.9223}, {""type"": ""LOC"", ""value"": ""Katana HZ"", ""score"": 0.9261}]"
Ituri,25-06-2026,"Training of national and provincial trainers in communication and community-based surveillance. 3 community dialogues on EVD prevention, community-based surveillance and case management (125 people: 60M,65F). 4,221 people reached through 64 mass sensitizations on prevention, case management, community alerts, SDB, and animal disease alert reporting. 7,718 people reached (3,239M,4,479F) through home visits by 470 community relays in Mongbwalu, Rwampara, Nyankunde. 18 radio spots/messages broadcast. 2 radio broadcasts on prevention in Mongbwalu and Nia-Nia. 1 radio broadcast on RCRN.","[{""type"": ""MISC"", ""value"": ""E"", ""score"": 0.9685}, {""type"": ""LOC"", ""value"": ""Mongbwalu"", ""score"": 0.981}, {""type"": ""LOC"", ""value"": ""Rwampara"", ""score"": 0.9588}, {""type"": ""LOC"", ""value"": ""Nyankunde"", ""score"": 0.9025}, {""type"": ""LOC"", ""value"": ""Mongbwalu"", ""score"": 0.9785}, {""type"": ""LOC"", ""value"": ""Ni"", ""score"": 0.9706}, {""type"": ""LOC"", ""value"": ""Ni"", ""score"": 0.8035}, {""type"": ""ORG"", ""value"": ""RCRN"", ""score"": 0.9698}]"
North-Kivu,25-06-2026,"1,925 community relays mobilized. 34,569 people (19,602F,14,967M) sensitized through 11,471 household visits in Goma, Karisimbi, Nyiragongo. 316 community leaders engaged. 3,705 people reached (1,190 in public places: 863 via mobile clinic/CREC-IMC at Kirotshe, 327 via U-Report; 2,515 via community talks). 18 local radios engaged, 3 formats produced and broadcast. 2,315 finalist students sensitized on hand hygiene during last day of national exams. 1 rumor collected and clarified for 69 community alerts reported. 1 EVD survivor and family engaged to testify and contribute to the response.","[{""type"": ""LOC"", ""value"": ""Goma"", ""score"": 0.9218}, {""type"": ""LOC"", ""value"": ""Karisimbi"", ""score"": 0.9263}, {""type"": ""LOC"", ""value"": ""Nyiragong"", ""score"": 0.9685}, {""type"": ""LOC"", ""value"": ""##o"", ""score"": 0.4472}, {""type"": ""ORG"", ""value"": ""IMC"", ""score"": 0.8158}, {""type"": ""LOC"", ""value"": ""Kirotshe"", ""score"": 0.9534}, {""type"": ""MISC"", ""value"": ""EVD"", ""score"": 0.6289}]"
South-Kivu,25-06-2026,"1,305 households visited, 7,172 people sensitized, 12 radios broadcast messages, 54 leaders engaged. Sensitization of finalist students at Kavumu exam center (345 people). Educational talk with 28 ITM Katana students on EVD prevention and signs. 12 radios broadcast prevention messages in 10 health zones.","[{""type"": ""LOC"", ""value"": ""Kavumu"", ""score"": 0.9194}, {""type"": ""ORG"", ""value"": ""ITM Katana"", ""score"": 0.9808}, {""type"": ""MISC"", ""value"": ""E"", ""score"": 0.9816}]"
Ituri,29-06-2026,"678 social mobilization activities (641 community dialogues and mass sensitizations) reaching 11,308 people (6,639M,4,669F) on EVD prevention, community-based surveillance, case management, decontamination and SDB in Mongbwalu, Nyankunde, Nizi, Rwampara, Nia-Nia, Aungba, Bambu, Aru. 50 educational talks and home visits by 1,241 community relays, 10,449 households reached, 8,902 people (4,236M,4,666F) in Bunia and Nyankunde. Briefing of 5 providers on community-based surveillance and RCCE with practical exercises. 18 radio spots/messages broadcast.","[{""type"": ""MISC"", ""value"": ""E"", ""score"": 0.9785}, {""type"": ""MISC"", ""value"": ""SD"", ""score"": 0.374}, {""type"": ""LOC"", ""value"": ""Mongbwalu"", ""score"": 0.9474}, {""type"": ""LOC"", ""value"": ""Nyankunde"", ""score"": 0.9633}, {""type"": ""LOC"", ""value"": ""Nizi"", ""score"": 0.9577}, {""type"": ""LOC"", ""value"": ""Rwampara"", ""score"": 0.9477}, {""type"": ""LOC"", ""value"": ""Ni"", ""score"": 0.9913}, {""type"": ""LOC"", ""value"": ""##a"", ""score"": 0.8319}, {""type"": ""LOC"", ""value"": ""Nia"", ""score"": 0.4847}, {""type"": ""LOC"", ""value"": ""Aungba"", ""score"": 0.9726}, {""type"": ""LOC"", ""value"": ""Bambu"", ""score"": 0.9367}, {""type"": ""LOC"", ""value"": ""A"", ""score"": 0.993}, {""type"": ""LOC"", ""value"": ""##ru"", ""score"": 0.9926}, {""type"": ""LOC"", ""value"": ""Bunia"", ""score"": 0.8292}, {""type"": ""LOC"", ""value"": ""Nyankunde"", ""score"": 0.9677}, {""type"": ""ORG"", ""value"": ""RCCE"", ""score"": 0.8779}]"
North-Kivu,29-06-202,"2,962 people sensitized (58% women, 42% men). 641 people who previously refused public health actions were transferred to care. 819 people reached through public places and places of worship. 32,801 people reached in total. 59 community alerts received. 713 leaders engaged. 20 community actors in continuous training in Karisimbi (teachers, RECOs, traditional healers, religious leaders, pharmacists).","[{""type"": ""LOC"", ""value"": ""Ka"", ""score"": 0.394}, {""type"": ""LOC"", ""value"": ""##im"", ""score"": 0.6595}]"
Ituri,30-06-2026,"Stickers and posters with educational messages: 8,000 motorcycles and 150 taxi-cars circulated in Bunia. 6 social mobilization activities reaching 3,904 people (1,076M, 2,828F). 2 educational talks, 525 households reached, 4,275 people (1,771M, 2,504F). Briefing of 42 providers on community-based surveillance and RCCE. 19 radio spots/messages broadcast.","[{""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9918}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.8699}, {""type"": ""ORG"", ""value"": ""RCCE"", ""score"": 0.9762}]"
North-Kivu,30-06-2026,"1,770 people engaged in community actions. Community dialogue with 15 leaders in Vuhovi. 4 mass communication sessions (398 Christians) in Katwa. Educational talk with 13 people in Beni. 6,901 households visited out of 25,342 planned.","[{""type"": ""LOC"", ""value"": ""Vuhovi"", ""score"": 0.9545}, {""type"": ""MISC"", ""value"": ""Christians"", ""score"": 0.998}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.9974}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9981}]"
Ituri,02-07-2026,"1 community engagement meeting in Nizi (46 participants). 138 social mobilization activities reaching 262,070 people (25,836M, 236,234F) in Mongbwalu, Nyankunde, Nizi, Rwampara, Nia-Nia, Aungba, Bambu, Aru. 279 educational talks and home visits by 912 community relays: 9,950 households reached, 17,564 people (6,594M, 10,972F) in Bunia and Nia-Nia. Briefing of 89 providers on community-based surveillance and RCCE. 19 radio spots/messages broadcast.","[{""type"": ""LOC"", ""value"": ""Nizi"", ""score"": 0.7922}, {""type"": ""LOC"", ""value"": ""Mongbwalu"", ""score"": 0.9282}, {""type"": ""LOC"", ""value"": ""Nyankunde"", ""score"": 0.8361}, {""type"": ""LOC"", ""value"": ""Nizi"", ""score"": 0.8773}, {""type"": ""LOC"", ""value"": ""Rwampara"", ""score"": 0.9018}, {""type"": ""LOC"", ""value"": ""Nia"", ""score"": 0.9041}, {""type"": ""LOC"", ""value"": ""Nia"", ""score"": 0.746}, {""type"": ""LOC"", ""value"": ""Aungba"", ""score"": 0.957}, {""type"": ""LOC"", ""value"": ""Bambu"", ""score"": 0.8793}, {""type"": ""LOC"", ""value"": ""A"", ""score"": 0.9861}, {""type"": ""LOC"", ""value"": ""##ru"", ""score"": 0.9769}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9926}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.7693}, {""type"": ""LOC"", ""value"": ""Ni"", ""score"": 0.9917}, {""type"": ""LOC"", ""value"": ""##a"", ""score"": 0.7302}, {""type"": ""LOC"", ""value"": ""Nia"", ""score"": 0.8193}]"
North-Kivu,02-07-2026,"3 briefing sessions: 90 motorcycle taxi leaders (Beni), 69 private health structure managers, 20 CAC members on barrier measures, community-based surveillance and RCCE.","[{""type"": ""LOC"", ""value"": ""Ben"", ""score"": 0.5167}, {""type"": ""ORG"", ""value"": ""CAC"", ""score"": 0.8795}, {""type"": ""ORG"", ""value"": ""RCCE"", ""score"": 0.9802}]"
Ituri,03-07-2026,"285 social mobilization activities reaching 36,499 people (11,228M, 19,271F) in Mongbwalu, Nyankunde, Nizi, Rwampara, Nia-Nia, Aungba, Bambu, Aru. 400 educational talks and home visits by 282 community relays: 850 households reached, 7,330 people (3,587M, 3,743F) in Bunia and Nia-Nia. Briefing and training of 90 providers on community-based surveillance and RCCE. 18 radio spots/messages broadcast.","[{""type"": ""LOC"", ""value"": ""Mongbwalu"", ""score"": 0.9578}, {""type"": ""LOC"", ""value"": ""Nyankunde"", ""score"": 0.8746}, {""type"": ""LOC"", ""value"": ""Nizi"", ""score"": 0.9174}, {""type"": ""LOC"", ""value"": ""Rwampara"", ""score"": 0.9524}, {""type"": ""LOC"", ""value"": ""Ni"", ""score"": 0.9918}, {""type"": ""LOC"", ""value"": ""##a"", ""score"": 0.761}, {""type"": ""LOC"", ""value"": ""Nia"", ""score"": 0.9118}, {""type"": ""LOC"", ""value"": ""Aungba"", ""score"": 0.9544}, {""type"": ""LOC"", ""value"": ""Bambu"", ""score"": 0.8946}, {""type"": ""LOC"", ""value"": ""A"", ""score"": 0.9889}, {""type"": ""LOC"", ""value"": ""##ru"", ""score"": 0.9792}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9941}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.9614}, {""type"": ""LOC"", ""value"": ""Ni"", ""score"": 0.9942}, {""type"": ""LOC"", ""value"": ""##a"", ""score"": 0.649}, {""type"": ""LOC"", ""value"": ""Nia"", ""score"": 0.8562}, {""type"": ""ORG"", ""value"": ""RCCE"", ""score"": 0.7126}]"
North-Kivu,03-07-2026,"1,818 community relays visited 14,620 households and sensitized 36,601 people (87% coverage). 7 educational talks (915 people). Knowledge progress: warning signs from 43% to 81%, handwashing from 32% to 76%. 165 providers trained (skills progress from 52% to 88%, validation rate 96%).",[]
Ituri,04-07-2026,"2 advocacy meetings with community and cultural leaders. 9,934 people reached by community relays in 1,332 households (7/22 HZs: Bunia, Nyankunde, Kilo, Rwampara, Nizi, Aru, Aungba). 7,242 people reached through educational talks (4 HZs: Bunia, Aru, Nyankunde, Aungba). 2,266 leaders (village chiefs, women's associations) engaged. Training of 80 leaders, community relays, ITs, ITAs (Cartas and FHI30 support) in Nia-Nia, Bunia and Nizi. 18 radio spots/messages broadcast.","[{""type"": ""LOC"", ""value"": ""B"", ""score"": 0.743}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.6054}, {""type"": ""LOC"", ""value"": ""Nyanku"", ""score"": 0.8237}, {""type"": ""LOC"", ""value"": ""Kilo"", ""score"": 0.739}, {""type"": ""LOC"", ""value"": ""R"", ""score"": 0.8956}, {""type"": ""LOC"", ""value"": ""##mpara"", ""score"": 0.8255}, {""type"": ""LOC"", ""value"": ""Nizi"", ""score"": 0.9399}, {""type"": ""LOC"", ""value"": ""A"", ""score"": 0.8483}, {""type"": ""LOC"", ""value"": ""##ru"", ""score"": 0.4967}, {""type"": ""LOC"", ""value"": ""Aungba"", ""score"": 0.9696}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.7692}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.6397}, {""type"": ""LOC"", ""value"": ""A"", ""score"": 0.7987}, {""type"": ""LOC"", ""value"": ""Nyanku"", ""score"": 0.867}, {""type"": ""LOC"", ""value"": ""Aungba"", ""score"": 0.9415}, {""type"": ""ORG"", ""value"": ""Car"", ""score"": 0.5882}, {""type"": ""LOC"", ""value"": ""Nia"", ""score"": 0.8096}, {""type"": ""LOC"", ""value"": ""Nia"", ""score"": 0.8336}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9798}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.9091}, {""type"": ""LOC"", ""value"": ""Nizi"", ""score"": 0.9764}]"
Ituri,07-07-2026,"13 people engaged in advocacy meeting (8M,5F). 1,113 people reached through home visits (485M,628F). 826 people reached through educational talks and focus groups (324M,502F). 52 people participated in community dialogue (41M,11F). 4,878 people reached through 15 mass sensitizations (2,076M,2,802F). 6,080 people sensitized in churches, mosques and markets (2,978M,3,102F). 13 feedbacks captured (10 clarified, 76.9%).",[]
North-Kivu,07-07-2026,"IPC kits delivered to 8 health facilities in Beni (IMC). 155 providers briefed (18 Musienene, 4 Kyondo, 57 Butembo, 76 Oicha). Advocacy with 39 taxi driver association presidents and transport agencies in Butembo and Kalunguta. Mass communication with 33 women during CPS in Aloya AS/Mabalako. 2 community dialogue sessions with 58 chiefs and community leaders in Katiri AS/Mabalako.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9937}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9969}, {""type"": ""ORG"", ""value"": ""IMC"", ""score"": 0.9805}, {""type"": ""ORG"", ""value"": ""Mu"", ""score"": 0.4717}, {""type"": ""ORG"", ""value"": ""K"", ""score"": 0.5586}, {""type"": ""ORG"", ""value"": ""Butem"", ""score"": 0.964}, {""type"": ""ORG"", ""value"": ""O"", ""score"": 0.7649}, {""type"": ""LOC"", ""value"": ""Butembo"", ""score"": 0.9931}, {""type"": ""LOC"", ""value"": ""Kalunguta"", ""score"": 0.9719}, {""type"": ""ORG"", ""value"": ""CP"", ""score"": 0.5807}, {""type"": ""ORG"", ""value"": ""Al"", ""score"": 0.9755}, {""type"": ""LOC"", ""value"": ""##oya"", ""score"": 0.7677}, {""type"": ""ORG"", ""value"": ""AS"", ""score"": 0.9684}, {""type"": ""ORG"", ""value"": ""Mabalako"", ""score"": 0.9566}, {""type"": ""ORG"", ""value"": ""Katiri AS / Mabalako"", ""score"": 0.9039}]"
Ituri,09-07-2026,"3 advocacy meetings (46 people: 39M,7F). 3,355 people reached through home visits (1,488M,1,867F). 7,625 people reached through educational talks/focus groups (3,689M,3,926F). 13,250 people reached through 45 mass sensitizations (5,750M,7,500F). 1,814 people sensitized in churches, mosques and markets. 5 feedbacks captured (1 clarified). Surveillance support: 51 community alerts (31 living, 20 deaths) in Bunia and Rwampara. RCCE: 17 Lita HZ framework team members trained (14M,3F). 6 radio broadcasts and 6 spots produced. 36 community radios engaged. 15 posters/IEC materials distributed.","[{""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9944}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.9287}, {""type"": ""LOC"", ""value"": ""Rwamp"", ""score"": 0.9005}, {""type"": ""LOC"", ""value"": ""##ara"", ""score"": 0.534}, {""type"": ""ORG"", ""value"": ""Lita HZ"", ""score"": 0.9719}, {""type"": ""ORG"", ""value"": ""IEC"", ""score"": 0.9909}]"
North-Kivu,09-07-2026,"379 community actors reported their activities. 11,119 households visited, 25,038 people reached. 1,140 people reached through dialogues/educational talks. 3,122 people sensitized in public places. 34 radios broadcast formats on EVD. 139 suspected case alerts raised by community actors. 6 feedbacks/infodemics captured and resolved. 1,135 people engaged in community actions. Support to IPC/surveillance in Vuhesi and Mutendero (Vuhovi): capacity building on triage and isolation.","[{""type"": ""ORG"", ""value"": ""EVD"", ""score"": 0.9809}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9964}, {""type"": ""LOC"", ""value"": ""Vuhesi"", ""score"": 0.8156}, {""type"": ""LOC"", ""value"": ""Mutendero"", ""score"": 0.7799}, {""type"": ""LOC"", ""value"": ""Vuh"", ""score"": 0.7758}]"
Ituri,10-07-2026,"1 advocacy meeting (1 person). 2,510 people reached through home visits (1,255M,1,255F). 1,846 people reached through educational talks/focus groups (361M,1,485F). 7,697 people reached through 30 mass sensitizations (2,854M,4,843F). 2,391 people sensitized in churches, mosques and markets. 58 feedbacks captured (11 clarified, 17%). Surveillance support: 50 community alerts (35 living, 15 deaths) in Nizi and Bunia. RCCE: 22 IT/ITA from Nia-Nia and 14 Red Cross volunteers briefed on EVD. 2 radio broadcasts and 6 spots produced. 36 community radios engaged. 15 posters/IEC materials distributed.","[{""type"": ""LOC"", ""value"": ""Nizi"", ""score"": 0.9127}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9952}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.8933}, {""type"": ""ORG"", ""value"": ""IT"", ""score"": 0.6515}, {""type"": ""ORG"", ""value"": ""IT"", ""score"": 0.4996}, {""type"": ""LOC"", ""value"": ""Ni"", ""score"": 0.5735}, {""type"": ""LOC"", ""value"": ""Nia"", ""score"": 0.5025}, {""type"": ""ORG"", ""value"": ""Red Cross"", ""score"": 0.9989}, {""type"": ""ORG"", ""value"": ""E"", ""score"": 0.6482}, {""type"": ""ORG"", ""value"": ""IEC"", ""score"": 0.9897}]"
North-Kivu,10-07-2026,"197 community actors reported their activities. 4,391 households visited, 15,679 people reached. 77 people reached through dialogues/educational talks. 112 people sensitized in public places. 27 radios broadcast formats on EVD. 133 suspected case alerts raised by community actors. 3 feedbacks/infodemics captured and resolved. 1,115 people engaged in community actions. Briefings: 41 private laboratory managers and traditional healers in Beni, 89 CAC members in Mabalako, 50 community actors in Kirotshe, 47 community actors in Walikale.","[{""type"": ""ORG"", ""value"": ""E"", ""score"": 0.7104}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9925}, {""type"": ""ORG"", ""value"": ""CA"", ""score"": 0.8185}, {""type"": ""LOC"", ""value"": ""Mabalako"", ""score"": 0.9149}, {""type"": ""LOC"", ""value"": ""Kirotshe"", ""score"": 0.8807}, {""type"": ""LOC"", ""value"": ""Walikale"", ""score"": 0.7237}]"
Ituri,11-07-2026,"2 advocacy meetings (58 people: 38M,20F). 3,340 people reached through home visits (1,479M,1,861F). 2,649 people reached through educational talks/focus groups (1,184M,1,465F). 28 people engaged in community dialogue (23M,5F). 5,484 people reached through 77 mass sensitizations (2,221M,3,263F). 12 feedbacks captured (2 clarified, 20%). Surveillance support: 97 community alerts (70 living, 27 deaths) in Bunia, Nyankunde and Rwampara. Contact listing support: 11 contacts at Clinique Gloria. RCCE: 24 community relays from Nizi and 17 Red Cross volunteers in Bunia briefed on EVD. 2 radio broadcasts and 6 spots produced. 36 community radios engaged. 15 posters/IEC materials distributed. Support to decontamination of 3 households in Rwampara, Shari AS.","[{""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9927}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.9123}, {""type"": ""LOC"", ""value"": ""Nyankunde"", ""score"": 0.9404}, {""type"": ""LOC"", ""value"": ""Rwampara"", ""score"": 0.8697}, {""type"": ""ORG"", ""value"": ""C"", ""score"": 0.9961}, {""type"": ""ORG"", ""value"": ""##linique Gloria"", ""score"": 0.9191}, {""type"": ""LOC"", ""value"": ""Ni"", ""score"": 0.5169}, {""type"": ""ORG"", ""value"": ""Red Cross"", ""score"": 0.9989}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9868}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.9651}, {""type"": ""ORG"", ""value"": ""EVD"", ""score"": 0.7655}, {""type"": ""ORG"", ""value"": ""IEC"", ""score"": 0.9944}, {""type"": ""LOC"", ""value"": ""Rwampara"", ""score"": 0.8275}, {""type"": ""ORG"", ""value"": ""S"", ""score"": 0.9431}, {""type"": ""ORG"", ""value"": ""AS"", ""score"": 0.6507}]"
North-Kivu,11-07-2026,"405 community actors reported their activities. 7,370 households visited, 36,819 people reached through door-to-door. 745 people reached through dialogues/educational talks. 2,691 people sensitized in public places. 27 radios broadcast at least one communication format.",[]
Ituri,13/07/2026,"2,958 people via home visits. 3,664 via talks. 3,755 mass sensitized. 36 radios engaged. 58 feedback captured.",[]
